fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X4_0X2_2_PX303Fg006_6X4_2X1_1,PX303Fg006_6X4_0X2_PX303Fg006_6X4_2X1,1,1,1,0,0,"[[False, 1, 0]]","[[500, 410, 250, 50]]",[]
PX303Fg006_5X4_3X3_0_PX303Fg006_5X4_4X0_2,PX303Fg006_5X4_3X3_PX303Fg006_5X4_4X0,1,1,1,0,0,"[[False, 1, 0]]","[[0, 467, 500, 50]]",[]
PX303Fg006_6X4_0X1_1_PX303Fg006_6X4_5X1_2,PX303Fg006_6X4_0X1_PX303Fg006_6X4_5X1,1,1,0,0,0,"[[False, 1, 2]]","[[250, 440, 500, 601]]",[]
PX303Fg006_6X4_3X1_0_PX303Fg006_6X4_4X0_0,PX303Fg006_6X4_3X1_PX303Fg006_6X4_4X0,1,1,0,0,0,"[[False, 4, 0]]","[[130, 1040, 130, 50]]",[]
PX303Fg006_5X3_0X1_0_PX303Fg006_5X3_1X2_1,PX303Fg006_5X3_0X1_PX303Fg006_5X3_1X2,1,1,0,0,0,"[[False, 4, 0]]","[[0, 1049, 250, 50]]",[]
PX303Fg006_6X4_3X0_1_PX303Fg006_6X4_5X1_2,PX303Fg006_6X4_3X0_PX303Fg006_6X4_5X1,1,1,0,0,0,"[[False, 2, 2]]","[[250, 749, 500, 601]]",[]
PX303Fg006_6X4_1X2_2_PX303Fg006_6X4_2X0_1,PX303Fg006_6X4_1X2_PX303Fg006_6X4_2X0,1,1,0,0,0,"[[False, 5, 3]]","[[500, 1358, 250, 894]]",[]
PX303Fg006_4X3_0X2_2_PX303Fg006_4X3_3X1_0,PX303Fg006_4X3_0X2_PX303Fg006_4X3_3X1,1,1,0,0,0,"[[False, 4, 0]]","[[500, 1096, 0, 50]]",[]
PX303Fg006_4X3_1X0_3_PX303Fg006_4X3_2X0_0,PX303Fg006_4X3_1X0_PX303Fg006_4X3_2X0,1,1,0,0,0,"[[False, 5, 0]]","[[880, 1319, 130, 50]]",[]
PX303Fg006_4X3_0X1_1_PX303Fg006_4X3_2X1_2,PX303Fg006_4X3_0X1_PX303Fg006_4X3_2X1,1,1,0,0,0,"[[False, 3, 0]]","[[250, 978, 500, 50]]",[]
