fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_4X4_0X3_1_PX303Fg006_4X4_3X3_0,PX303Fg006_4X4_0X3_PX303Fg006_4X4_3X3,0,4,1,1,0,0,"[[False, 1, 0]]","[[1138, 250, 50, 0]]",[]
PX303Fg006_5X4_1X3_1_PX303Fg006_5X4_4X2_1,PX303Fg006_5X4_1X3_PX303Fg006_5X4_4X2,0,7,3,3,0,0,"[[False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1161, 250, 827, 250], [1161, 250, 827, 0], [1161, 0, 827, 250]]",[]
PX303Fg006_5X4_3X0_1_PX303Fg006_5X4_4X1_1,PX303Fg006_5X4_3X0_PX303Fg006_5X4_4X1,0,6,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[769, 250, 999, 250], [769, 250, 999, 0]]",[]
PX303Fg006_4X4_0X1_0_PX303Fg006_4X4_2X1_0,PX303Fg006_4X4_0X1_PX303Fg006_4X4_2X1,0,3,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[]
PX303Fg006_4X3_1X1_1_PX303Fg006_4X3_2X2_0,PX303Fg006_4X3_1X1_PX303Fg006_4X3_2X2,0,4,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[995, 250, 50, 250], [995, 250, 50, 0], [995, 0, 50, 250], [995, 0, 50, 0]]",[]
PX303Fg006_4X4_2X3_0_PX303Fg006_4X4_3X2_1,PX303Fg006_4X4_2X3_PX303Fg006_4X4_3X2,0,2,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[239, 250, 1815, 250], [239, 250, 1815, 0]]",[]
PX303Fg006_5X3_1X2_0_PX303Fg006_5X3_2X2_0,PX303Fg006_5X3_1X2_PX303Fg006_5X3_2X2,0,66,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_5X3_0X1_1_PX303Fg006_5X3_2X0_1,PX303Fg006_5X3_0X1_PX303Fg006_5X3_2X0,0,8,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[864, 250, 1069, 250], [864, 250, 1069, 0]]",[]
PX303Fg006_4X4_0X2_0_PX303Fg006_4X4_2X1_0,PX303Fg006_4X4_0X2_PX303Fg006_4X4_2X1,0,1,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_6X3_0X0_1_PX303Fg006_6X3_4X1_0,PX303Fg006_6X3_0X0_PX303Fg006_6X3_4X1,0,2,1,1,0,0,"[[False, 0, 1]]","[[733, 0, 50, 250]]",[]
PX303Fg006_5X4_0X1_0_PX303Fg006_5X4_1X1_0,PX303Fg006_5X4_0X1_PX303Fg006_5X4_1X1,0,1,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_6X4_3X2_1_PX303Fg006_6X4_4X1_0,PX303Fg006_6X4_3X2_PX303Fg006_6X4_4X1,0,2,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[1558, 250, 50, 250], [1558, 250, 50, 0]]",[]
PX303Fg006_6X4_1X1_0_PX303Fg006_6X4_2X0_0,PX303Fg006_6X4_1X1_PX303Fg006_6X4_2X0,0,2,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[]
PX303Fg006_5X4_1X0_0_PX303Fg006_5X4_3X0_0,PX303Fg006_5X4_1X0_PX303Fg006_5X4_3X0,0,10,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_5X3_1X1_1_PX303Fg006_5X3_4X0_0,PX303Fg006_5X3_1X1_PX303Fg006_5X3_4X0,0,4,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[1004, 250, 50, 250], [1004, 250, 50, 0]]",[]
PX303Fg006_6X3_0X2_0_PX303Fg006_6X3_2X2_0,PX303Fg006_6X3_0X2_PX303Fg006_6X3_2X2,0,8,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_6X4_0X1_0_PX303Fg006_6X4_4X1_0,PX303Fg006_6X4_0X1_PX303Fg006_6X4_4X1,0,5,3,3,4,2,"[[False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250]]",[]
PX303Fg006_4X4_2X3_0_PX303Fg006_4X4_3X3_1,PX303Fg006_4X4_2X3_PX303Fg006_4X4_3X3,0,19,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[239, 250, 1821, 250], [239, 250, 1821, 0]]",[]
PX303Fg006_5X4_1X0_0_PX303Fg006_5X4_3X3_0,PX303Fg006_5X4_1X0_PX303Fg006_5X4_3X3,0,4,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[]
PX303Fg006_6X3_4X0_1_PX303Fg006_6X3_5X1_0,PX303Fg006_6X3_4X0_PX303Fg006_6X3_5X1,0,6,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[768, 250, 50, 250], [768, 250, 50, 0], [768, 0, 50, 250], [768, 0, 50, 0]]",[]
PX303Fg006_4X3_0X2_1_PX303Fg006_4X3_2X1_1,PX303Fg006_4X3_0X2_PX303Fg006_4X3_2X1,0,4,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[1486, 250, 2005, 250], [1486, 250, 2005, 0]]",[]
PX303Fg006_6X4_1X0_0_PX303Fg006_6X4_3X1_0,PX303Fg006_6X4_1X0_PX303Fg006_6X4_3X1,0,6,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_5X4_0X0_0_PX303Fg006_5X4_1X3_0,PX303Fg006_5X4_0X0_PX303Fg006_5X4_1X3,0,4,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_6X3_3X1_0_PX303Fg006_6X3_5X1_1,PX303Fg006_6X3_3X1_PX303Fg006_6X3_5X1,0,11,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 793, 250]]",[]
PX303Fg006_6X4_0X0_0_PX303Fg006_6X4_3X3_0,PX303Fg006_6X4_0X0_PX303Fg006_6X4_3X3,0,6,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[]
PX303Fg006_4X3_1X2_1_PX303Fg006_4X3_2X1_1,PX303Fg006_4X3_1X2_PX303Fg006_4X3_2X1,0,2,1,1,0,0,"[[False, 0, 0]]","[[666, 0, 2005, 0]]",[]
PX303Fg006_5X4_0X3_0_PX303Fg006_5X4_4X2_0,PX303Fg006_5X4_0X3_PX303Fg006_5X4_4X2,0,5,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[]
PX303Fg006_5X4_1X0_1_PX303Fg006_5X4_4X1_0,PX303Fg006_5X4_1X0_PX303Fg006_5X4_4X1,0,8,3,3,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 1]]","[[976, 250, 50, 250], [976, 0, 50, 250], [976, 0, 50, 0]]",[]
PX303Fg006_6X3_1X1_1_PX303Fg006_6X3_3X2_0,PX303Fg006_6X3_1X1_PX303Fg006_6X3_3X2,0,4,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[716, 0, 50, 250], [716, 0, 50, 0], [716, 250, 50, 250], [716, 250, 50, 0]]",[]
PX303Fg006_6X4_2X3_1_PX303Fg006_6X4_4X2_0,PX303Fg006_6X4_2X3_PX303Fg006_6X4_4X2,0,4,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1174, 250, 50, 250], [1174, 250, 50, 0], [1174, 0, 50, 250], [1174, 0, 50, 0]]",[]
PX303Fg006_4X4_0X1_0_PX303Fg006_4X4_1X0_0,PX303Fg006_4X4_0X1_PX303Fg006_4X4_1X0,0,1,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_5X4_0X2_1_PX303Fg006_5X4_1X2_0,PX303Fg006_5X4_0X2_PX303Fg006_5X4_1X2,1,12,12,12,2,1,"[[False, 1, 1], [False, 1, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 3, 3], [False, 3, 3]]","[[1050, 550, 50, 600], [1050, 550, 50, 550], [1050, 450, 50, 500], [1050, 500, 50, 500], [1050, 500, 50, 550], [1050, 600, 50, 650], [1050, 600, 50, 600], [1050, 750, 50, 750], [1050, 400, 50, 400], [1050, 800, 50, 800], [1050, 650, 50, 650], [1050, 650, 50, 700]]",[]
PX303Fg006_6X3_3X0_0_PX303Fg006_6X3_5X0_0,PX303Fg006_6X3_3X0_PX303Fg006_6X3_5X0,0,8,1,1,0,0,"[[False, 0, 0]]","[[50, 0, 50, 0]]",[]
PX303Fg006_5X4_2X2_1_PX303Fg006_5X4_4X1_0,PX303Fg006_5X4_2X2_PX303Fg006_5X4_4X1,0,1,1,1,0,0,"[[False, 0, 1]]","[[1079, 0, 50, 250]]",[]
PX303Fg006_5X3_3X0_1_PX303Fg006_5X3_4X0_0,PX303Fg006_5X3_3X0_PX303Fg006_5X3_4X0,1,6,6,5,2,1,"[[False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 3, 3], [False, 3, 3], [False, 4, 4]]","[[1201, 400, 50, 400], [1201, 1000, 50, 1000], [1201, 300, 50, 300], [1201, 950, 50, 950], [1201, 350, 50, 350], [1201, 900, 50, 900]]",[]
PX303Fg006_6X4_0X0_1_PX303Fg006_6X4_5X3_1,PX303Fg006_6X4_0X0_PX303Fg006_6X4_5X3,0,11,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[784, 250, 738, 250], [784, 250, 738, 0], [784, 0, 738, 250], [784, 0, 738, 0]]",[]
PX303Fg006_5X3_0X2_1_PX303Fg006_5X3_4X2_1,PX303Fg006_5X3_0X2_PX303Fg006_5X3_4X2,0,4,3,3,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 1]]","[[1008, 0, 1433, 0], [1008, 0, 1433, 250], [1008, 250, 1433, 250]]",[]
PX303Fg006_4X3_0X1_1_PX303Fg006_4X3_1X2_0,PX303Fg006_4X3_0X1_PX303Fg006_4X3_1X2,0,5,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1286, 0, 50, 250], [1286, 0, 50, 0], [1286, 250, 50, 250], [1286, 250, 50, 0]]",[]
PX303Fg006_5X4_2X3_1_PX303Fg006_5X4_3X2_1,PX303Fg006_5X4_2X3_PX303Fg006_5X4_3X2,0,1,1,1,0,0,"[[False, 1, 1]]","[[985, 250, 794, 250]]",[]
PX303Fg006_6X4_0X3_1_PX303Fg006_6X4_3X3_0,PX303Fg006_6X4_0X3_PX303Fg006_6X4_3X3,0,6,3,3,0,0,"[[False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[520, 250, 50, 250], [520, 250, 50, 0], [520, 0, 50, 250]]",[]
PX303Fg006_6X3_2X0_1_PX303Fg006_6X3_3X0_1,PX303Fg006_6X3_2X0_PX303Fg006_6X3_3X0,0,32,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1066, 250, 751, 250], [1066, 250, 751, 0], [1066, 0, 751, 250], [1066, 0, 751, 0]]",[]
PX303Fg006_6X3_0X0_0_PX303Fg006_6X3_3X1_0,PX303Fg006_6X3_0X0_PX303Fg006_6X3_3X1,0,5,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_5X3_3X2_1_PX303Fg006_5X3_4X1_1,PX303Fg006_5X3_3X2_PX303Fg006_5X3_4X1,0,2,1,1,0,0,"[[False, 1, 1]]","[[859, 250, 1131, 250]]",[]
PX303Fg006_6X4_0X1_1_PX303Fg006_6X4_1X3_1,PX303Fg006_6X4_0X1_PX303Fg006_6X4_1X3,0,7,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[834, 250, 624, 250], [834, 250, 624, 0]]",[]
PX303Fg006_5X3_1X1_1_PX303Fg006_5X3_2X1_0,PX303Fg006_5X3_1X1_PX303Fg006_5X3_2X1,1,54,51,51,12,6,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 2, 1], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 3, 2], [False, 3, 3], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 5, 4]]","[[1004, 550, 50, 550], [1004, 550, 50, 500], [1004, 1100, 50, 1100], [1004, 250, 50, 250], [1004, 170, 50, 170], [1004, 250, 50, 0], [1004, 250, 50, 200], [1004, 100, 50, 50], [1004, 180, 50, 130], [1004, 100, 50, 100], [1004, 180, 50, 180], [1004, 700, 50, 650], [1004, 700, 50, 700], [1004, 1200, 50, 1150], [1004, 1200, 50, 1200], [1004, 0, 50, 250], [1004, 0, 50, 0], [1004, 80, 50, 80], [1004, 200, 50, 150], [1004, 200, 50, 200], [1004, 500, 50, 500], [1004, 500, 50, 450], [1004, 650, 50, 650], [1004, 650, 50, 600], [1004, 50, 50, 50], [1004, 130, 50, 130], [1004, 50, 50, 0], [1004, 130, 50, 80], [1004, 750, 50, 750], [1004, 750, 50, 700], [1004, 1150, 50, 1150], [1004, 1150, 50, 1100], [1004, 350, 50, 300], [1004, 270, 50, 220], [1004, 350, 50, 350], [1004, 270, 50, 270], [1004, 430, 50, 430], [1004, 400, 50, 400], [1004, 400, 50, 350], [1004, 1250, 50, 1200], [1004, 600, 50, 550], [1004, 600, 50, 600], [1004, 520, 50, 520], [1004, 300, 50, 300], [1004, 220, 50, 220], [1004, 300, 50, 250], [1004, 220, 50, 170], [1004, 150, 50, 150], [1004, 150, 50, 100], [1004, 450, 50, 400], [1004, 450, 50, 450]]",[]
PX303Fg006_5X4_3X1_0_PX303Fg006_5X4_4X3_0,PX303Fg006_5X4_3X1_PX303Fg006_5X4_4X3,0,1,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_5X4_1X1_0_PX303Fg006_5X4_3X0_0,PX303Fg006_5X4_1X1_PX303Fg006_5X4_3X0,0,2,1,1,0,0,"[[False, 1, 1]]","[[50, 250, 50, 250]]",[]
PX303Fg006_5X3_1X1_1_PX303Fg006_5X3_2X0_1,PX303Fg006_5X3_1X1_PX303Fg006_5X3_2X0,0,10,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[1004, 250, 1069, 250], [1004, 250, 1069, 0]]",[]
PX303Fg006_5X4_2X1_1_PX303Fg006_5X4_3X3_0,PX303Fg006_5X4_2X1_PX303Fg006_5X4_3X3,0,2,1,1,0,0,"[[False, 1, 1]]","[[1203, 250, 50, 250]]",[]
PX303Fg006_5X4_0X0_1_PX303Fg006_5X4_1X0_0,PX303Fg006_5X4_0X0_PX303Fg006_5X4_1X0,1,28,26,26,10,5,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 1, 0], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 3, 3], [False, 3, 3], [False, 3, 3]]","[[894, 550, 50, 550], [894, 250, 50, 250], [894, 170, 50, 170], [894, 250, 50, 0], [894, 700, 50, 700], [894, 750, 50, 750], [894, 400, 50, 400], [894, 0, 50, 0], [894, 200, 50, 200], [894, 500, 50, 500], [894, 650, 50, 650], [894, 100, 50, 100], [894, 180, 50, 180], [894, 800, 50, 800], [894, 850, 50, 850], [894, 350, 50, 350], [894, 270, 50, 270], [894, 430, 50, 430], [894, 600, 50, 600], [894, 520, 50, 520], [894, 50, 50, 50], [894, 130, 50, 130], [894, 300, 50, 300], [894, 220, 50, 220], [894, 150, 50, 150], [894, 450, 50, 450]]",[]
PX303Fg006_6X4_4X0_0_PX303Fg006_6X4_5X3_1,PX303Fg006_6X4_4X0_PX303Fg006_6X4_5X3,0,7,1,1,0,0,"[[False, 0, 1]]","[[50, 0, 738, 250]]",[]
